Account Owner,Company Name,Billing City,Billing Zip/Postal Code,Account Territory,Reseller,Product Name,Bundle Product,License Name,Status,Buy Price Currency,Buy Price,Quantity,Expiry Date,Sector
System User UK,Kevin James Ltd,,,,,ESET MDR,,ESET MDR,Active,GBP,0.0,110.0,10/03/2026,
Keith Nutburn,Cactus Backup,,,,Risc Group IT Solutions Ltd,ESET MDR,,ESET MDR,Active,GBP,10375.2,110.0,29/10/2025,
Emmanuel Adjah,HRH Limited,Aberdeen,AB23 8EG,North,Softcat Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,4847.7,110.0,10/10/2025,Business
Emmanuel Adjah,Fearnley Procter Group,Westhill,AB32 6JL,North,Softcat Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,1794.56,100.0,27/12/2025,Business
Emmanuel Adjah,Artfarm Ltd,Ballater,AB35 5YN,North,Boxxe Ltd,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,5553.63,400.0,31/01/2026,Business
Emmanuel Adjah,International Fish Canners,Fraserburgh,AB43 9DY,North,Cairn Solutions,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,4391.16,130.0,27/10/2026,Business
James Conville,Motor Fuel Group,St Albans,AL1 3JX,Midlands,Insight Direct (UK) Ltd,ESET Endpoint Encryption - Pro,ESET Endpoint Encryption - Pro,Q6DWR-XKPKP-HVGTV-4QXFX,Active,GBP,342.23,280.0,13/10/2025,Business
Jack Potter,The Stevenson Group Ltd,St Albans,AL40JY,Midlands,Aspen Solutions Ltd,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,371.48,310.0,28/09/2025,Business
Jack Potter,Speedwell Climate Ltd,Harpenden,AL54HU,Midlands,Grey Matter Ltd,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,9862.4,250.0,01/06/2026,Business
Jack Potter,Jackson Mechanical Services (UK) Ltd,Harpenden,AL5 4UN,Midlands,Bridged Networks Ltd,ESET Mail Security,,ESET Mail Security,Active,GBP,1655.44,100.0,10/05/2026,Business
Jack Potter,Telespazio,Welwyn Garden City,AL7 1LT,Midlands,Plan-IT Office Solutions Ltd,ESET Endpoint Security + Server Security,ESET PROTECT Entry On-Prem,EAV-0134770770,Active,GBP,757.5,100.0,30/09/2025,Business
Jack Potter,Brogan Plant Hire Limited,Welwyn Garden City,AL7 1TW,Midlands,Millgate Limited,Safetica,,DKCGB-EDK7D-5F9F9-4P3PD-428JN,Active,GBP,5376.0,100.0,22/02/2025,Business
Jack Potter,Health Exchange Cic Ltd,BIRMINGHAM,B12 0HJ,Midlands,Pugh Computers Ltd,ESET PROTECT Entry,,ESET PROTECT Entry,Active,GBP,1764.67,192.0,10/02/2026,Business
Jack Potter,McGeoch Technology Ltd,Birmingham,B19 3PA,Midlands,Softcat Limited,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,6885.66,160.0,26/04/2027,Business
Jack Potter,The Rookery School,Birmingham,B21 9PY,Midlands,Pugh Computers Ltd,ESET PROTECT Complete,,ESET PROTECT Complete,Active,GBP,3596.66,250.0,02/10/2026,Education
Jack Potter,Highclare School,birmingham,b23 6ql,Midlands,Unique Business Solutions Ltd,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,4143.75,250.0,08/03/2026,Business
Jack Potter,Yenton Primary School,Birmingham,B24 0ED,Midlands,Panacea Logic Limited,ESET PROTECT Entry,,ESET PROTECT Entry,Active,GBP,3886.4,220.0,22/07/2025,Business
Jack Potter,Marine Information Solutions Ltd,Birmingham,B31 2TS,Midlands,Softcat Limited,ESET PROTECT Advanced,,ESET PROTECT Advanced,Active,GBP,192.32,225.0,13/09/2025,Business
Jack Potter,Leycroft Academy,Birmingham,B33,Midlands,Computeam Ltd,ESET PROTECT Essential On-Prem,,ESET PROTECT Essential On-Prem,Active,GBP,449.6,160.0,11/04/2025,Education
