Type,Account ID (CaseSafe),Reseller Distributor ID,Company Name,Account Territory,Partner Margin,Payment Method,Billing Zip/Postal Code,Account Owner
Reseller,0011n00002QFgRfAAL,GB20207P005894833,3Link Solutions Ltd,,25,Cash with Order,WC2H 9JQ,Adam Smith
Reseller,0010Y00000qhYoFQAU,4ITSECLT,4ITSec Ltd,Grove Midlands,20,Credit,NR11 7HL,Adam Smith
Reseller,0010Y00000WJywuQAD,7DAYSHOP,7dayshop.com,Grove South,20,Cash with Order,GY1 2RN,Adam Smith
Reseller,0010Y00000WJjzkQAD,7RLIMIT,7r Traveltech,,25,Credit,SO53 4AR,Adam Smith
Reseller,0010Y00000WJjzlQAD,7YTECHNO,7Y Technology Ltd,Grove Midlands,25,Credit,HR4 7QR,Adam Smith
Reseller,0010Y00000WJjzpQAD,ACCO,A & C Computers Ltd,,20,Credit,HP2 7EY,Adam Smith
Reseller,0010Y00000WJYPUQA5,AAGITSER,AAG IT Services Ltd,Grove North,25,Credit,S43 4FD,Adam Smith
Reseller,0010Y00000WJjzxQAD,ABSOLIT,Absolute IT,Grove South,25,Cash with Order,SO32 2LE,Adam Smith
Reseller,0010Y00000WJjzqQAD,AJCOMP,Absolute Technology,Grove South,20,Cash with Order,SO23 9EH,Adam Smith
Reseller,0011n000021GhY9AAK,GB20193P001985277,Adsis IT Limited,Grove Midlands,20,Credit,LE1 3LJ,Adam Smith
Reseller,0010Y00000WJkktQAD,ITLAB,Advania UK Limited,Grove North,20,Credit,M27 6DB,Adam Smith
Reseller,0010Y00000WJk0YQAT,AFFINITU,Affinitus Group Ltd,Grove South,20,Credit,ME9 8NY,Adam Smith
Reseller,0010Y00000WJk0bQAD,AFINITE,Afinite limited,Grove North,20,Credit,LS11 5QP,Adam Smith
Reseller,0010Y00000WJzciQAD,NBG-AIND,Aindale BMS Ltd,Grove North,20,Credit,HD1 3ED,Adam Smith
Reseller,0011n00002qK4ykAAC,GB20223P013878965,Airnow Technology,Grove North,20,Credit,LS15 8ZB,Adam Smith
Reseller,0010Y00000WJyxyQAD,AJARTECL,AJAR-tec Limited,Grove South,20,Credit,TW8 9EW,Adam Smith
Reseller,0010Y00000WJk0jQAD,AKM,AKM,Grove Midlands,20,Credit,CB7 4EX,Adam Smith
Reseller,0010Y00000WJk0kQAD,ALEXANDE,Alexander Harris IT Services Ltd,,25,Cash with Order,OX18 2ND,Adam Smith
Reseller,0010Y00000WJyyHQAT,ALLTEKS,Alltek Solutions Ltd,Grove Midlands,25,Credit,SY43BP,Adam Smith
Reseller,0010Y00000WJk0lQAD,ALOGANSO,A Logan Solutions,Grove Midlands,20,Cash with Order,BT67 0RH,Adam Smith
Reseller,0010Y00000WJk6xQAD,AMANSCOM,Aman's Computer Services,Grove Midlands,25,Credit,B70 6NH,Adam Smith
Reseller,0010Y00000WJk70QAD,AMCOFML,Amcofm Limited,Grove Midlands,25,Credit,SG6 2JF,Adam Smith
Reseller,0010Y00001Yp5wGQAR,ANDISAI1,Andisa IT Consultants,,20,Credit,HG3 1RY,Adam Smith
Reseller,0010Y00000WJyylQAD,ANGLIAS,Anglia Solutions Ltd,Grove South,20,Cash with Order,CM8 2BD,Adam Smith
Reseller,0010Y00000qiocwQAA,ANGLOAME,Anglo American System Consultants,Grove South,25,Credit,SM1 1JB,Adam Smith
Reseller,0010Y00000WJyyqQAD,APCSOL,APCSOL,Grove South,20,Cash with Order,E11 4RD,Adam Smith
Reseller,0010Y00000WJyyrQAD,APCSUKLT,APCS UK Ltd,Grove South,25,Cash with Order,NW7 2AX,Adam Smith
Reseller,0010Y00000WJyywQAD,APOLLOT1,APOLLO TECHNOLOGY SOLUTIONS LIMITED,Grove Midlands,25,Credit,BA3 3PL,Adam Smith
Reseller,0010Y00000WJk7MQAT,APPLECO1,AppleCore-IT Ltd,Grove North,20,Cash with Order,WA7 4UH,Adam Smith
Reseller,0010Y000012m8osQAA,APSYSTEM,A P Systems,Grove North,20,Credit,AB56 4RS,Adam Smith
Reseller,0010Y00000WJk7SQAT,AQUAITSU,Aqua IT Support Ltd,Grove North,25,Credit,PA4 9LH,Adam Smith
Reseller,0011n00002XZw1iAAD,GB202012P007253341,Aspgate Ltd,,25,Credit,EC1n 8LE,Adam Smith
Reseller,0011n000029XvjuAAC,GB20196P002306870,A-TECH SERVICES LIMITED,Grove South,25,Credit,BH14 9PJ,Adam Smith
Reseller,0010Y00000WJyzUQAT,ATSBUSIN,ATS BUSINESS MACHINES,Grove Midlands,20,Credit,CF24 4LE,Adam Smith
Reseller,0011n000022oD94AAE,GB20194P002024904,Axess Systems Ltd,Grove Midlands,20,Credit,DE5 8LE,Adam Smith
Reseller,0011n00002H6hUgAAJ,GB20201P003688515,Barrowtech Ltd,,25,Credit,HU17 0LS,Adam Smith
Reseller,0010Y00000WJz5MQAT,BENITONE,BenITone Computer Repairs,Grove South,20,Cash with Order,ME7 3RE,Adam Smith
Reseller,0011n00002v92xAAAQ,GB20238P018111524,Bionic.Network Ltd,Grove South,20,Credit,EC1V 2NX,Adam Smith
Reseller,0010Y00000WJl9aQAD,NORBROOK,Black Sheep Business Communications Ltd,Grove North,20,Credit,BL6 7BL,Adam Smith
Reseller,0010Y00000WJz5iQAD,BLACKSNO,Blacksnow Web Design,Grove South,20,Credit,TQ9 6QH,Adam Smith
Reseller,0010Y00000WJz5wQAD,BLUEPOOL,BluePool Computer Services,Grove North,25,Credit,DN4 5HX,Adam Smith
Reseller,0010Y00000WJz69QAD,BRAMATTC,Bramatt Computing Ltd,Grove Midlands,20,Credit,LE67 3HG,Adam Smith
Reseller,0010Y00000WJkBPQA1,BRIDGEN,Bridged Networks Ltd,Grove South,25,Credit,CM1 2JL,Adam Smith
Reseller,0010Y00000WJkBUQA1,BRITANNI,Britannia Computer Services,Grove Midlands,25,Credit,LL77 7XA,Adam Smith
Reseller,0011n00002pw6tcAAA,GB20222P013674865,BSR Software Ltd,,20,Credit,UB8 2XW,Adam Smith
Reseller,0010Y00000WJz6TQAT,BUCKGRO,Buck Group Limited,Grove North,20,Cash with Order,WN6 0SJ,Adam Smith
Reseller,0010Y00000WJkBZQA1,BUNKER48,BUNKER48 Ltd,,25,Cash with Order,PE9 2BW,Adam Smith
Reseller,0010Y00000WJkBaQAL,BUSINES2,Business Computing and Network Services Ltd,Grove South,20,Credit,TQ10 9YS,Adam Smith
Reseller,0010Y00000WJkIaQAL,CLRSTEC1,Business IT Specialists Ltd,Grove North,25,Cash with Order,PA3 3FP,Adam Smith
Reseller,0010Y00000WJz6gQAD,CAETECH,CAE Technology Services,Grove South,20,Credit,HP2 7DE,Adam Smith
Reseller,0010Y00000WJkBkQAL,CAIRNSO,Cairn Solutions,Grove North,25,Credit,PA1 1QA,Adam Smith
Reseller,0010Y00001IhshaQAB,CALDERAI,Caldera IT Limited,Grove South,20,Credit,TN11 9HA,Adam Smith
Reseller,0010Y00000WJz6jQAD,CALLITFI,Callitfix,Grove South,20,Cash with Order,TW3 4EA,Adam Smith
